country,national_park_name,park_url,lat_dms,long_dms,lat_dec,long_dms
Angola,Maiombe National Park,https://en.wikipedia.org/w/index.php?title=Maiombe_National_Park&action=edit&redlink=1,,,,
Ascension Island,Average relative humidity,https://en.wikipedia.org/wiki/Relative_humidity,,,,
Ascension Island,Mean monthly sunshine hours,https://en.wikipedia.org/wiki/Sunshine_duration,,,,
Cameroon,Kimbi-Fungom National Park,https://en.wikipedia.org/w/index.php?title=Kimbi-Fungom_National_Park&action=edit&redlink=1,,,,
Cameroon,Mozogo-Gokoro National Park,https://en.wikipedia.org/w/index.php?title=Mozogo-Gokoro_National_Park&action=edit&redlink=1,,,,
Cameroon,Tchabal Mbabo National Park,https://en.wikipedia.org/w/index.php?title=Tchabal_Mbabo_National_Park&action=edit&redlink=1,,,,
Comoros,Mitsamiouli Ndroude National Park,https://en.wikipedia.org/w/index.php?title=Mitsamiouli_Ndroude_National_Park&action=edit&redlink=1,,,,
Djibouti,Djibouti National Park,https://en.wikipedia.org/wiki/Djibouti_National_Park,,,,
Djibouti,Yoboki National Park,https://en.wikipedia.org/wiki/Yoboki_National_Park,,,,
Egypt,Ministry of Environment Egyptian Environmental Affairs Agency,https://en.wikipedia.orghttp://www.eeaa.gov.eg/en-us/topics/nature/protectorates/protectoratesdescription.aspx,,,,
Egypt,http://www.eeaa.gov.eg/Portals/0/eeaaReports/N-protect/Protectorates2013_A3En_Ar_Existing_Future.pdf,https://en.wikipedia.orghttp://www.eeaa.gov.eg/Portals/0/eeaaReports/N-protect/Protectorates2013_A3En_Ar_Existing_Future.pdf,,,,
Eritrea,Dahlak Marine National Park,https://en.wikipedia.org/wiki/Dahlak_Marine_National_Park,,,,
Ethiopia,Bejimiz National Park,https://en.wikipedia.org/w/index.php?title=Bejimiz_National_Park&action=edit&redlink=1,,,,
Ethiopia,Dati Wolel National Park,https://en.wikipedia.org/w/index.php?title=Dati_Wolel_National_Park&action=edit&redlink=1,,,,
Ethiopia,Gibe Sheleko National Park,https://en.wikipedia.org/w/index.php?title=Gibe_Sheleko_National_Park&action=edit&redlink=1,,,,
Ethiopia,Loka-Abaya National Park,https://en.wikipedia.org/w/index.php?title=Loka-Abaya_National_Park&action=edit&redlink=1,,,,
Ethiopia,Mao-Komo National Park,https://en.wikipedia.org/w/index.php?title=Mao-Komo_National_Park&action=edit&redlink=1,,,,
Guinea-Bissau,Boé National Park,https://en.wikipedia.org/w/index.php?title=Bo%C3%A9_National_Park&action=edit&redlink=1,,,,
Guinea-Bissau,Dulombi National Park,https://en.wikipedia.org/w/index.php?title=Dulombi_National_Park&action=edit&redlink=1,,,,
Guinea-Bissau,Varela National Park,https://en.wikipedia.org/w/index.php?title=Varela_National_Park&action=edit&redlink=1,,,,
Liberia,Gola National Forest,https://en.wikipedia.org/wiki/Gola_National_Forest,,,,
Libya,Rajma National Park,https://en.wikipedia.org/wiki/Rajma_National_Park,,,,
Madagascar,Nosy Tanikely National Park,https://en.wikipedia.org/w/index.php?title=Nosy_Tanikely_National_Park&action=edit&redlink=1,,,,
Mauritius,Islets National Park,https://en.wikipedia.org/wiki/Islets_National_Park,,,,
Morocco,Dakhla National Park,https://en.wikipedia.org/w/index.php?title=Dakhla_National_Park&action=edit&redlink=1,,,,
Niger,4 Total Faunal Reserves,https://en.wikipedia.org/wiki/World_Commission_on_Protected_Areas,,,,
Niger,1 Partial Faunal Reserve,,,,,
Niger,1 Faunal Reserve Buffer Zone,,,,,
Niger,1 National Nature Reserve,,,,,
Niger,1 Strict Nature Reserve,https://en.wikipedia.org/wiki/Nature_Reserve,,,,
Niger,1 National Park,https://en.wikipedia.org/wiki/National_Park,,,,
Rwanda,Wildlife of Rwanda,https://en.wikipedia.org/wiki/Wildlife_of_Rwanda,,,,
Seychelles,Ile Du Sud,https://en.wikipedia.org/w/index.php?title=Ile_Du_Sud_-_Poivre_Atoll_National_Park&action=edit&redlink=1,,,,
Sierra Leone,Kuru Hills,https://en.wikipedia.org/w/index.php?title=Kuru_Hills_National_Park&action=edit&redlink=1,,,,
Sierra Leone,Lake Mape/Mabesi,https://en.wikipedia.org/w/index.php?title=Lake_Mape/Mabesi_National_Park&action=edit&redlink=1,,,,
Sierra Leone,Lake Sonfon,https://en.wikipedia.org/w/index.php?title=Lake_Sonfon_National_Park&action=edit&redlink=1,,,,
Sierra Leone,Loma Mountains,https://en.wikipedia.org/w/index.php?title=Loma_Mountains_National_Park&action=edit&redlink=1,,,,
Somalia,Arbawerow National Park,https://en.wikipedia.org/w/index.php?title=Arbawerow_National_Park&action=edit&redlink=1,,,,
Somalia,Baraako madow National Park,https://en.wikipedia.org/w/index.php?title=Baraako_madow_National_Park&action=edit&redlink=1,,,,
Somalia,Buloburto National Park,https://en.wikipedia.org/w/index.php?title=Buloburto_National_Park&action=edit&redlink=1,,,,
Somalia,Hobyo National Park,https://en.wikipedia.org/wiki/Hobyo_National_Park,,,,
Somalia,las'anod National Park,https://en.wikipedia.org/w/index.php?title=Las%27anod_National_Park&action=edit&redlink=1,,,,
Somalia,Shoonto National Park,https://en.wikipedia.org/w/index.php?title=Shoonto_National_Park&action=edit&redlink=1,,,,
Somalia,Taleh-El Chebet National Park,https://en.wikipedia.org/w/index.php?title=Taleh-El_Chebet_National_Park&action=edit&redlink=1,,,,
Somalia,Zayla National Park,https://en.wikipedia.org/w/index.php?title=Zayla_National_Park&action=edit&redlink=1,,,,
Sudan,Jebel Hassania National Park,https://en.wikipedia.org/w/index.php?title=Jebel_Hassania_National_Park&action=edit&redlink=1,,,,
Tunisia,Dghoumes National Park,https://en.wikipedia.org/w/index.php?title=Dghoumes_National_Park&action=edit&redlink=1,,,,
Tunisia,Jebel Mghilla National Park,https://en.wikipedia.org/w/index.php?title=Jebel_Mghilla_National_Park&action=edit&redlink=1,,,,
Tunisia,Jebel Orbata National Park,https://en.wikipedia.org/w/index.php?title=Jebel_Orbata_National_Park&action=edit&redlink=1,,,,
Tunisia,Jebel Zaghdoud National Park,https://en.wikipedia.org/w/index.php?title=Jebel_Zaghdoud_National_Park&action=edit&redlink=1,,,,
