country,national_park_name,park_url,lat_dms,long_dms,lat_dec,long_dms
Algeria,Ahaggar National Park,https://en.wikipedia.org/wiki/Hoggar_Mountains,23°17′20″N,05°32′01″E,23.288889,5.533611
Algeria,Belezma National Park,https://en.wikipedia.org/wiki/Belezma_National_Park,35°35′N,6°2′E,35.583333,6.033333
Algeria,Chrea National Park,https://en.wikipedia.org/wiki/Chrea_National_Park,36°24′N,2°52′E,36.4,2.866667
Algeria,Djebel Aissa National Park,https://en.wikipedia.org/wiki/Djebel_Aissa_National_Park,32°52′23″N,0°29′10″E,32.873056,0.486111
Algeria,Djurdjura National Park,https://en.wikipedia.org/wiki/Djurdjura_National_Park,36°28′0.120″N,4°7′59.880″E,36.4667,4.1333
Algeria,El Kala National Park,https://en.wikipedia.org/wiki/El_Kala_National_Park,36°49′N,8°25′E,36.816667,8.416667
Algeria,Gouraya National Park,https://en.wikipedia.org/wiki/Gouraya_National_Park,36°46′N,5°6′E,36.766667,5.1
Algeria,Taza National Park,https://en.wikipedia.org/wiki/Taza_National_Park,36°36′N,5°30′E,36.6,5.5
Algeria,Tassili n'Ajjer National Park,https://en.wikipedia.org/wiki/Tassili_n%27Ajjer_National_Park,25°30′N,9°0′E,25.5,9.0
Algeria,Theniet El Had National Park,https://en.wikipedia.org/wiki/Theniet_El_Had_National_Park,35°40′N,01°49′E,35.666667,1.816667
Algeria,Tlemcen National Park,https://en.wikipedia.org/wiki/Tlemcen_National_Park,34°53′N,1°18′W,34.883333,-1.3
Angola,Bicuar National Park,https://en.wikipedia.org/wiki/Bicuar_National_Park,15°17′23″S,14°48′26″E,-15.289722,14.807222
Angola,Cameia National Park,https://en.wikipedia.org/wiki/Cameia_National_Park,11°53′S,21°40′E,-11.883333,21.666667
Angola,Cangandala National Park,https://en.wikipedia.org/wiki/Cangandala_National_Park,9°48′S,16°45′E,-9.8,16.75
Angola,Iona National Park,https://en.wikipedia.org/wiki/Iona_National_Park,16°40′S,12°20′E,-16.666667,12.333333
Angola,Luengue-Luiana National Park,https://en.wikipedia.org/wiki/Luengue-Luiana_National_Park,16°35′S,21°50′E,-16.583333,21.833333
Angola,Mavinga National Park,https://en.wikipedia.org/wiki/Mavinga_National_Park,16°10′S,20°15′E,-16.166667,20.25
Angola,Mupa National Park,https://en.wikipedia.org/wiki/Mupa_National_Park,15°55′S,15°35′E,-15.916667,15.583333
Angola,Quiçama National Park,https://en.wikipedia.org/wiki/Qui%C3%A7ama_National_Park,9°45′S,13°35′E,-9.75,13.583333
Ascension Island,Deutscher Wetterdienst,https://en.wikipedia.org/wiki/Deutscher_Wetterdienst,50°06′11″N,8°44′52″E,50.103056,8.747778
